Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
286191384 3.612095803e+00 1.572973792e+03 1.574779530e+03 1.350938084e-04 2.706062533e-01 2.652514479e-01 9.736000000e+00 
269852699 5.136473714e+00 1.653934920e+03 1.651366865e+03 5.545589294e-05 1.189991255e-01 9.936044259e-02 1.097370000e+01 
153709888 4.332751554e+00 1.438632392e+03 1.440798759e+03 3.194855464e-06 6.512919722e-02 6.435325814e-02 1.146520000e+01 
307488184 1.006688996e+01 1.578299686e+03 1.573359871e+03 1.459351646e-02 1.462718549e-01 1.429138052e-02 1.040570000e+01 
 98478039 6.680141542e-01 1.491821919e+03 1.491490477e+03 6.003614735e-03 3.526828475e-02 1.383527169e-02 1.393130000e+01 
185980914 3.491476593e+00 1.519527166e+03 1.521272895e+03 4.155433516e-06 4.590811956e-01 4.024608454e-01 1.012470000e+01 
  9381557 1.180730458e+01 1.440552524e+03 1.434651267e+03 3.186875849e-04 9.052179023e-02 1.525266161e-01 1.182280000e+01 
 80650858 1.915855413e+00 1.519084475e+03 1.520042391e+03 9.649285159e-06 3.101367042e-01 9.667674884e-02 9.172100000e+00 
150357064 2.978687616e+00 1.626298522e+03 1.627787523e+03 1.799613005e-04 6.321420261e-02 4.663929448e-02 1.084180000e+01 
147214032 2.487733519e+00 1.573224557e+03 1.571981008e+03 2.002419821e-04 3.182403666e-01 3.177267850e-01 9.229800000e+00 
 22529346 2.549870002e+00 1.491998528e+03 1.490723703e+03 6.755865368e-05 1.711976000e-02 1.674305473e-02 1.005600000e+01 
207051961 5.902150063e+00 1.472574934e+03 1.475125293e+03 1.059267847e-01 5.683558534e-02 9.565220870e-03 1.386450000e+01 
222173967 2.013694256e+00 1.625917050e+03 1.626922938e+03 7.469188917e-04 2.413480858e-01 4.351193333e-02 1.401050000e+01 
175405906 2.012929831e+00 1.356100281e+03 1.355094196e+03 2.967930939e-04 4.533731203e-01 1.112119870e-01 1.139690000e+01 
432168104 2.552666369e+00 1.545826796e+03 1.547101807e+03 8.134388265e-04 4.344517777e-02 2.285506017e-02 1.465110000e+01 
406276109 7.547331228e+00 1.326959666e+03 1.330635039e+03 2.044744986e-02 1.054746288e-01 7.725170347e-02 1.381370000e+01 
339607421 2.438258158e+00 1.412453510e+03 1.411235657e+03 8.210517454e-04 5.642086797e-02 5.463919476e-03 8.466200000e+00 
391902612 4.552245917e+00 1.440604165e+03 1.438329815e+03 6.118065325e-04 7.476719357e-01 1.839942290e-01 1.186250000e+01 
345835653 1.849264029e+00 1.469443069e+03 1.468520264e+03 1.551265413e-03 3.637653550e-02 3.345494490e-02 1.394640000e+01 
