C.D.S.  -  SIMBAD4 rel 1.7  -  2021.06.22CEST08:19:29

maintypes='EB*'
---------------

Number of objects : 20000  (truncated to 20000 objects)

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
1    |V* V2483 Cyg                       |EB*|21 08 09.3636046544 +36 28 19.245084111|     ~|     ~|     ~|11.08 |     ~|~                    |   7|   0
2    |V* V1229 Cyg                       |EB*|21 09 23.1 +38 11 45                   |     ~|     ~|     ~|     ~|     ~|~                    |   6|   0
3    |V* V1226 Cyg                       |EB*|21 07 23.8802350987 +38 24 49.719316700|     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
4    |V* V387 Cyg                        |EB*|21 15 37.3603108200 +37 29 51.593240224|     ~|11.58 |11.19 |     ~|     ~|G5(N)                |  37|   0
5    |V* V1902 Cyg                       |EB*|21 17 07.6552829271 +37 46 00.313045517|     ~|14.3  |     ~|     ~|     ~|~                    |   5|   0
6    |V* V1960 Cyg                       |EB*|21 12 41.9861852851 +37 32 28.212061584|     ~|17.8  |     ~|     ~|     ~|~                    |   4|   0
7    |V* V1230 Cyg                       |EB*|21 10 03.6737676279 +36 54 41.254699560|     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
8    |V* V2485 Cyg                       |EB*|21 15 37.2285611630 +38 02 27.676287607|     ~|13.5  |     ~|     ~|     ~|~                    |   6|   0
9    |BD+36 4469                         |EB*|21 13 19.3690761097 +37 34 08.173069760|     ~| 9.87 | 9.44 |     ~|     ~|~                    |   5|   0
10   |V* V1333 Cyg                       |EB*|21 18 57.4515560885 +39 03 37.976763014|     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
11   |V* V1936 Cyg                       |EB*|21 28 29.8940125729 +38 56 04.773859624|     ~|14.0  |     ~|     ~|     ~|~                    |   5|   0
12   |V* V1961 Cyg                       |EB*|21 24 31.6910395734 +39 57 19.681334345|     ~|15.6  |     ~|     ~|     ~|~                    |   5|   0
13   |V* V1239 Cyg                       |EB*|21 19 45.2959674858 +38 21 57.462806270|     ~|     ~|     ~|     ~|     ~|~                    |   6|   0
14   |V* V614 Cyg                        |EB*|21 30 40.3052339490 +40 56 22.812405004|     ~|     ~|     ~|     ~|     ~|~                    |   6|   0
15   |V* V610 Cyg                        |EB*|21 29 07.2688251096 +40 40 11.060579663|     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
16   |V* V706 Cyg                        |EB*|21 35 55.9863213501 +40 50 48.325812391|     ~|     ~|     ~|     ~|     ~|~                    |  21|   0
17   |V* V652 Cyg                        |EB*|21 42 50.0940078183 +41 59 31.100760292|     ~|12.83 |11.55 |     ~|     ~|~                    |   6|   0
18   |V* V664 Cyg                        |EB*|21 48 33.7457814040 +40 58 36.332234498|     ~|12.84 |12.73 |     ~|     ~|~                    |   8|   0
