2021-07-26 19:29:21,908 INFO    Thread-438:4174 [wandb_setup.py:_flush():69] setting env: {'project': 'tess', 'entity': 'parsellsx', 'root_dir': '/home/parsellsx/berkeley-seti', 'run_id': 'my3b65yc', 'sweep_param_path': '/home/parsellsx/berkeley-seti/wandb/sweep-ch9xdjvq/config-my3b65yc.yaml', 'sweep_id': 'ch9xdjvq'}
2021-07-26 19:29:21,909 INFO    Thread-438:4174 [wandb_setup.py:_flush():69] setting login settings: {}
2021-07-26 19:29:21,909 INFO    Thread-438:4174 [wandb_init.py:_log_setup():337] Logging user logs to /home/parsellsx/berkeley-seti/wandb/run-20210726_192921-my3b65yc/logs/debug.log
2021-07-26 19:29:21,909 INFO    Thread-438:4174 [wandb_init.py:_log_setup():338] Logging internal logs to /home/parsellsx/berkeley-seti/wandb/run-20210726_192921-my3b65yc/logs/debug-internal.log
2021-07-26 19:29:21,909 INFO    Thread-438:4174 [wandb_init.py:_jupyter_setup():288] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f36eadf88d0>
2021-07-26 19:29:21,910 INFO    Thread-438:4174 [wandb_init.py:init():370] calling init triggers
2021-07-26 19:29:21,910 INFO    Thread-438:4174 [wandb_init.py:init():377] wandb.init called with sweep_config: {'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.0001}
config: {}
2021-07-26 19:29:21,910 INFO    Thread-438:4174 [wandb_init.py:init():419] starting backend
2021-07-26 19:29:21,910 INFO    Thread-438:4174 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-07-26 19:29:21,913 INFO    Thread-438:4174 [backend.py:ensure_launched():135] starting backend process...
2021-07-26 19:29:21,919 INFO    Thread-438:4174 [backend.py:ensure_launched():140] started backend process with pid: 6180
2021-07-26 19:29:21,921 INFO    Thread-438:4174 [wandb_init.py:init():424] backend started and connected
2021-07-26 19:29:21,952 INFO    Thread-438:4174 [wandb_run.py:_config_callback():872] config_cb None None {'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.0001}
2021-07-26 19:29:21,953 INFO    Thread-438:4174 [wandb_run.py:_label_probe_notebook():844] probe notebook
2021-07-26 19:29:21,953 INFO    Thread-438:4174 [wandb_run.py:_label_probe_notebook():851] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2021-07-26 19:29:21,953 INFO    Thread-438:4174 [wandb_init.py:init():472] updated telemetry
2021-07-26 19:29:21,953 INFO    Thread-438:4174 [wandb_init.py:init():491] communicating current version
2021-07-26 19:29:22,599 INFO    Thread-438:4174 [wandb_init.py:init():496] got version response 
2021-07-26 19:29:22,599 INFO    Thread-438:4174 [wandb_init.py:init():504] communicating run to backend with 30 second timeout
2021-07-26 19:29:22,700 INFO    Thread-438:4174 [wandb_init.py:init():529] starting run threads in backend
2021-07-26 19:29:27,712 INFO    Thread-438:4174 [wandb_run.py:_console_start():1623] atexit reg
2021-07-26 19:29:27,712 INFO    Thread-438:4174 [wandb_run.py:_redirect():1497] redirect: SettingsConsole.WRAP
2021-07-26 19:29:27,712 INFO    Thread-438:4174 [wandb_run.py:_redirect():1534] Wrapping output streams.
2021-07-26 19:29:27,715 INFO    Thread-438:4174 [wandb_run.py:_redirect():1558] Redirects installed.
2021-07-26 19:29:27,715 INFO    Thread-438:4174 [wandb_init.py:init():554] run started, returning control to user process
2021-07-26 19:29:28,962 INFO    Thread-438:4174 [wandb_run.py:finish():1293] finishing run parsellsx/tess/my3b65yc
